Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Micronesia,2022-12-14 04:21:04,7.4256,150.5508,22203,58,,,19507.9734657119,,,0.2612259604557942,583,FSM,0,0
Moldova,2022-12-14 04:21:04,47.4116,28.3699,595745,11922,,,14791.232691691765,,,2.0011917850758296,498,MDA,1239,20
Monaco,2022-12-14 04:21:04,43.7333,7.4167,15784,65,,,40220.16104372643,,,0.4118094272681196,492,MCO,601,0
Mongolia,2022-12-14 04:21:04,46.8625,103.8467,1006851,2135,,,30712.669890296533,,,0.2120472641930136,496,MNG,6025,3
Montenegro,2022-12-14 04:21:04,42.708678,19.37439,284176,2790,,,45246.48840401107,,,0.981785935476606,499,MNE,794,2
Morocco,2022-12-14 04:21:04,31.7917,-7.0926,1270318,16289,,,3441.611476044334,,,1.2822773510254912,504,MAR,3540,5
Mozambique,2022-12-14 04:21:04,-18.665695,35.529562,230816,2229,,,738.4827630778454,,,0.96570428393179,508,MOZ,273,5
Namibia,2022-12-14 04:21:04,-22.9576,18.4904,169946,4080,,,6688.375373290577,,,2.400762595177292,516,NAM,0,0
Nauru,2022-12-14 04:21:04,-0.5228,166.9315,4621,1,,,42652.7598301643,,,0.0216403375892663,520,NRU,3,0
Nepal,2022-12-14 04:21:04,28.1667,84.25,1000941,12019,,,3435.314534110943,,,1.200770075359087,524,NPL,125,0
Netherlands,2022-12-14 04:21:04,52.3167,5.55,8665326,23644,,,50571.28815603127,,,0.2728575935862078,528,NLD,22683,116
New Zealand,2022-12-14 04:21:04,-40.9006,174.886,2026277,2258,,,42019.47520992868,,,0.1114358994352697,554,NZL,125767,103
Nicaragua,2022-12-14 04:21:04,12.865416,-85.207229,15263,245,,,230.40041639029587,,,1.6051890191967504,558,NIC,60,0
Niger,2022-12-14 04:21:04,17.607789,8.081666,9434,314,,,38.97278415720383,,,3.3283866864532543,562,NER,4,0
Nigeria,2022-12-14 04:21:04,9.082,8.6753,266381,3155,,,129.2236022574354,,,1.1843937818387948,566,NGA,139,0
North Macedonia,2022-12-14 04:21:04,41.6086,21.7453,345197,9599,,,16569.084852499305,,,2.7807310028766183,807,MKD,725,27
Norway,2022-12-14 04:21:04,60.472,8.4689,1471342,4498,,,27140.31212773752,,,0.3057073066628968,578,NOR,4407,212
Oman,2022-12-14 04:21:04,21.512583,55.923255,399119,4628,,,7815.714576093551,,,1.159553917503301,512,OMN,92,0
Pakistan,2022-12-14 04:21:04,30.3753,69.3451,1575486,30635,,,713.2370747629079,,,1.9444793543071788,586,PAK,775,6
Palau,2022-12-14 04:21:04,7.515,134.5825,5933,9,,,32946.4682363394,,,0.1516939153885049,585,PLW,324,0
Panama,2022-12-14 04:21:04,8.538,-80.7821,1015970,8543,,,23546.34130966022,,,0.8408712855694558,591,PAN,16629,18
Papua New Guinea,2022-12-14 04:21:04,-6.314993,143.95555,46457,669,,,519.2451079000879,,,1.4400413285403706,598,PNG,684,1
Paraguay,2022-12-14 04:21:04,-23.4425,-58.4438,778895,19646,,,10920.318596627005,,,2.522291194576933,600,PRY,60846,38
Peru,2022-12-14 04:21:04,-9.19,-75.0152,4376905,217704,,,13274.673792908046,,,4.9739256392359446,604,PER,191096,385
Philippines,2022-12-14 04:21:04,12.879721,121.774017,4050866,64921,,,3696.683601919072,,,1.602644965298778,608,PHL,30882,497
